STATcube

"Supply balance sheet for eggs as of 1994 (Q)"
"Values by Balance sheet item and Year"
"Counting: PRODUCTION, Production: of which hatching eggs, Imports of shell eggs, Imports of shell eggs: of which hatching eggs, Imports of egg products, Exports of shell eggs, Exports of shell eggs: of which hatching eggs, Exports of egg products, DOMESTIC USE, Hatching eggs, Processing, HUMAN CONSUMPTION, Human consumption per capita (in pcs / in kg), DEGREE OF SELF-SUFFICIENCY (in %)"

"Balance sheet item","Eggs in 1.000 pcs",,,,,,,,,,
"Year","2020","2020 - Annotations","2021","2021 - Annotations","2022","2022 - Annotations","2023","2023 - Annotations","2024","2024 - Annotations",
"Values",
"PRODUCTION",2165661,,2319378,,2383641,,2351727,,2325238,,
"Production: of which hatching eggs",130754,,131591,,137792,,140736,,138949,,
"Imports of shell eggs",395033,,260117,,294793,,251221,,250602,,
"Imports of shell eggs: of which hatching eggs",16739,,15652,,9668,,10604,,17809,,
"Imports of egg products",308467,,271455,,296031,,281061,,327214,,
"Exports of shell eggs",63900,,45388,,49564,,49624,,44083,,
"Exports of shell eggs: of which hatching eggs",8968,,7568,,6116,,8228,,6592,,
"Exports of egg products",397290,,293806,,381310,,215638,,196157,,
"DOMESTIC USE",2407971,,2511756,,2543591,,2618747,,2662814,,
"Hatching eggs",138525,,139675,,141344,,143112,,150165,,
"Processing",169355,,201613,,161290,,209677,,217742,,
"HUMAN CONSUMPTION",2100091,,2170468,,2240956,,2265958,,2294907,,
"Human consumption per capita (in pcs / in kg)",236.0,,242.0,,248.0,,248.0,,250.0,,
"DEGREE OF SELF-SUFFICIENCY (in %)",90,,92,,94,,90,,87,,


Symbol,Description
"Q","STATcube – Statistical Database of STATISTICS AUSTRIA"
"Supply balance sheet for eggs as of 1994",".) Subject of the statistics: Supply balance sheets are used to represent the supply and use of agricultural production of plant and animal origin. The balance sheets also supply information about parameters such as the degree of self-sufficiency and per capita consumption. .) Legal basis: Agreement with the Federal Ministry of Agriculture, Forestry, Regions and Water Management – BML. .) Updating: Time series adjustment until 31 August of the calendar year following the reporting period. Last update: [2025-09-01] .) Contact details: Directorate Spatial Statistics - Supply Balance Sheets DI Martin HOFER, phone +43 1 711 28-7113 Martin.Hofer@statistik.gv.at Mag.a Marie-Theres WANDL, phone +43 1 711 28-8171 Marie-Theres.Wandl@statistik.gv.at Other Metadata: https://www.statistik.at/en/statistics/agriculture-and-forestry/agricultural-balance-sheets/supply-balance-sheets"
"Imports of egg products","expressed in shell eggs"
"Exports of egg products","expressed in shell eggs"
"Balance sheet item","If not mentioned separately, indicated figures are in tonnes."
"Year","All data relate to calendar years (1 January to 31 December)."


(c) Copyright Statistics Austria
