"Values","PRODUCTION","Human consumption per capita (in kg)","emoji"
"Mushrooms (cultivated)",3200,2.1,🍄‍🟫
"Peas",7873,1.1,🫛
"Gherkins",9274,1.8,-
"Cucumber",33723,6.0,🥒
"Cauliflower",4478,1.5,-
"Carrots",120583,12.2,🥕
"Collard, chines cabbage",17683,2.5,-
"Cabbage (white and red)",35901,4.3,🥬
"Melons",2413,6.3,🍉
"Pepper, hot pepper",14051,5.2,🌶️
"Tomatoes",58099,25.3,🍅
"Beetroots",7272,0.6,🫜
"Lettuce (butterhead, iceberg)",37877,4.2,🥬
"Lettuce (others)",9541,4.4,🥬
"Asparagus",2723,0.8,-
"Celery",12801,1.4,-
"Spinach",14441,1.4,-
"Onions",175097,7.4,🧅
"Courgettes",7300,2.2,-
"Other vegetables",91517,21.3,-
"Market production",665847,111.9,-
"Kitchen gardens",73983,5.2,-
"Vegetables in total",739830,117.1,-
