Entity,Year,Ghg emissions per kilogram,Land use per kilogram,Freshwater withdrawals per kilogram,Ghg emissions per 100g protein,Land use per 100g protein,Freshwater withdrawals per 100g protein
Apples,2010,0.43,0.63,180.1,14.333333,21,6003.3335
Bananas,2010,0.86,1.93,114.5,9.555555,21.444445,1272.2222
Barley,2010,1.18,1.11,17.1,,,
Beef (beef herd),2010,99.48,326.21,1451.2,49.889668,163.5958,727.7833
Beef (dairy herd),2010,33.3,43.24,2714.3,49.889668,21.904762,1375.0253
Beet Sugar,2010,1.81,1.83,217.7,16.8693,,
Berries & Grapes,2010,1.53,2.41,419.6,15.3,24.1,4196
Brassicas,2010,0.51,0.55,119.4,4.6363635,5,1085.4546
Cane Sugar,2010,3.2,2.04,620.1,,,
Cassava,2010,1.32,1.81,0,14.666667,20.11111,
Cheese,2010,23.88,87.79,5605.2,10.815217,39.759964,2538.587
Citrus Fruit,2010,0.39,0.86,82.7,6.5,14.333333,1378.3334
Coffee,2010,28.53,21.62,25.9,35.6625,27.025,32.375
Dark Chocolate,2010,46.65,68.96,540.6,93.3,137.92,1081.2
Eggs,2010,4.67,6.27,577.7,4.208724,5.650685,520.63806
Fish (farmed),2010,13.63,8.41,3691.3,5.9767594,3.6877878,1618.6362
Groundnuts,2010,3.23,9.11,1852.3,1.2337662,3.4797556,707.52484
Lamb & Mutton,2010,39.72,369.81,1802.8,19.850075,184.81259,900.9495
Maize,2010,1.7,2.94,215.7,1.7894737,3.0947368,227.05263
Milk,2010,3.15,8.95,628.2,,27.121212,1903.6364
Nuts,2010,0.43,12.96,4133.8,0.26331905,7.9363136,2531.4146
Oatmeal,2010,2.48,7.6,482.4,1.9076923,5.8461537,371.07693
Onions & Leeks,2010,0.5,0.39,14.3,3.8461537,3,110
Other Fruit,2010,1.05,0.89,153.5,,,
Other Pulses,2010,1.79,15.57,435.7,0.8360579,7.2723026,203.50304
Other Vegetables,2010,0.53,0.38,102.5,,,
Peas,2010,0.98,7.46,396.6,0.4410441,3.3573358,178.48785
Pig Meat,2010,12.31,17.36,1795.8,7.608158,10.729296,1109.8888
Potatoes,2010,0.46,0.88,59.1,2.7058823,5.1764708,347.64706
Poultry Meat,2010,9.87,12.22,660,5.698614,7.055427,381.06235
Prawns (farmed),2010,26.87,2.97,3515.4,18.192282,2.0108328,2380.0947
Rice,2010,4.45,2.8,2248.4,6.267606,3.943662,3166.7605
Root Vegetables,2010,0.43,0.33,28.4,4.3,3.3,284
Soy milk,2010,0.98,0.66,27.8,,,
Tofu,2010,3.16,3.52,148.6,1.975,2.2,92.875
Tomatoes,2010,2.09,0.8,369.8,19,7.2727275,3361.818
Wheat & Rye,2010,1.57,3.85,647.5,1.2868853,3.1557376,530.73773
Wine,2010,1.79,1.78,78.9,,,
